Count,Name,Section
4,Aquitect's Will,main
1,Blighted Cataract,main
2,Claustrophobia,main
1,Cold-Eyed Selkie,main
1,Concentrate,main
1,Engulf the Shore,main
2,Essence Scatter,main
1,Harbinger of the Tides,main
1,Inkfathom Divers,main
21,Island,main
2,Lonely Sandbar,main
1,Master of the Pearl Trident,main
1,Master of Waves,main
1,Merfolk Looter,main
1,Merfolk Sovereign,main
1,Merfolk Wayfinder,main
1,Merrow Reejerey,main
1,Mind Spring,main
1,Misdirection,main
2,Rootwater Hunter,main
2,Scroll Thief,main
3,Streambed Aquitects,main
2,Tidal Courier,main
2,Tidal Warrior,main
1,Tidal Wave,main
1,Tidebinder Mage,main
1,Triton Tactics,main
1,Wake Thrasher,main

